id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6v3KW9xbzN5yKLt9YKDYA,Señorita,Shawn Mendes,0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800.0,4.0
2Fxmhks0bxGSBdJ92vM42,bad guy,Billie Eilish,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,194088.0,4.0
0RiRZpuVRbi7oqRdSMwhQ,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.755,0.522,2.0,-4.368,1.0,0.0575,0.533,0.0,0.0685,0.925,89.96,157560.0,4.0
6ocbgoVGwYJhOv1GgI9Ns,7 rings,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,178627.0,4.0
2YpeDb67231RjR0MgVLzs,Old Town Road - Remix,Lil Nas X,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,157067.0,4.0
0hVXuCcriWRGvwMV1r5Yn,I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.675,6.0,-5.041,1.0,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947.0,4.0
7xQAfvXzm3AkraOtGPWIZ,Wow.,Post Malone,0.829,0.539,11.0,-7.359,0.0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547.0,4.0
7qEHsqek33rTcFNT9PFqL,Someone You Loved,Lewis Capaldi,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0
5w9c2J52mkdntKOmRLeM2,Con Calma,Daddy Yankee,0.737,0.86,8.0,-2.652,0.0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227.0,4.0
2VxeLyX666F8uXCJ0dZF8,Shallow,Lady Gaga,0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,215733.0,4.0
2dpaYNEQHiRxtZbfNsse9,Happier,Marshmello,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.015,214290.0,4.0
5p7ujcrUXASCNwRaWNHR1,Without Me,Halsey,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661.0,4.0
5iwz1NiezX7WWjnCgY5TH,Calma - Remix,Pedro Capó,0.826,0.773,11.0,-4.218,0.0,0.0524,0.323,0.0,0.143,0.761,126.899,238200.0,4.0
3e9HZxeyfWwjeyPAMmWSS,"thank u, next",Ariana Grande,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,207320.0,4.0
22vgEDb5hykfaTwLuskFG,Sucker,Jonas Brothers,0.842,0.734,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027.0,4.0
25sgk305KZfyuqVBQIahi,Sweet but Psycho,Ava Max,0.719,0.704,1.0,-4.724,1.0,0.0476,0.0691,0.0,0.166,0.628,133.002,187436.0,4.0
6Qs4SXO9dwPj5GKvVOv8K,Dancing With A Stranger (with Normani),Sam Smith,0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030.0,4.0
4SSnFejRGlZikf02HLewE,bury a friend,Billie Eilish,0.905,0.389,8.0,-14.505,1.0,0.332,0.74,0.162,0.106,0.196,120.046,193143.0,4.0
0F7FA14euOIX8KcbEturG,Old Town Road,Lil Nas X,0.907,0.53,1.0,-6.112,1.0,0.127,0.0578,2.23e-06,0.101,0.507,135.998,113000.0,4.0
6TqXcAFInzjp0bODyvrWE,Talk (feat. Disclosure),Khalid,0.901,0.4,0.0,-8.575,1.0,0.126,0.051,0.0,0.0599,0.346,135.984,197573.0,4.0
43zdsphuZLzwA9k4DJhU0,when the party's over,Billie Eilish,0.367,0.111,4.0,-14.084,1.0,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077.0,4.0
70eFcWOvlMObDhURTqT4F,Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,197867.0,4.0
1rgnBhdG2JDFTbYkYRZAk,Dance Monkey,Tones And I,0.825,0.593,6.0,-6.401,0.0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755.0,4.0
4kV4N9D1iKVxx1KLvtTpj,"break up with your girlfriend, i'm bored",Ariana Grande,0.726,0.554,5.0,-5.29,0.0,0.0917,0.0421,0.0,0.106,0.335,169.999,190440.0,4.0
2JvzF1RMd7lE3KmFlsyZD,MIDDLE CHILD,J. Cole,0.837,0.364,8.0,-11.713,1.0,0.276,0.149,0.0,0.271,0.463,123.984,213594.0,4.0
6vBdBCoOhKHiYDDOcorfN,Goodbyes (Feat. Young Thug),Post Malone,0.58,0.653,5.0,-3.818,1.0,0.0745,0.447,0.0,0.111,0.175,150.231,174960.0,4.0
1rqqCSm0Qe4I9rUvWncao,High Hopes,Panic! At The Disco,0.579,0.904,5.0,-2.729,1.0,0.0618,0.193,0.0,0.064,0.681,82.014,190947.0,4.0
0KoiMHhqKLoL4xM54rcWY,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,4.0
1lOe9qE0vR9zwWQAOk6Co,Ransom,Lil Tecca,0.745,0.642,7.0,-6.257,0.0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240.0,4.0
0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,4.0
2xLMifQCjDGFmkHkpNLD9,SICKO MODE,Travis Scott,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,4.0
2IRZnDFmlqMuOrYOLnZZy,Going Bad (feat. Drake),Meek Mill,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003,180522.0,4.0
5WHTFyqSii0lmT9R21abT,Don't Call Me Up,Mabel,0.674,0.881,9.0,-2.853,1.0,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480.0,4.0
2TH65lNHgvLxCKXM3apjx,Callaita,Bad Bunny,0.61,0.624,2.0,-4.773,1.0,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534.0,4.0
116H0KvKr2Zl4RPuVBruD,MIA (feat. Drake),Bad Bunny,0.817,0.539,6.0,-6.349,0.0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368.0,4.0
5qmq61DAAOUaW8AUo8xKh,Truth Hurts,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,173325.0,4.0
7FGq80cy8juXBCD2nrqdW,Eastside (with Halsey & Khalid),benny blanco,0.632,0.686,6.0,-7.665,0.0,0.243,0.549,0.0,0.2,0.329,89.949,170770.0,4.0
4u7EnebtmKWzUH433cf5Q,Bohemian Rhapsody - 2011 Mix,Queen,0.414,0.404,0.0,-9.928,0.0,0.0499,0.271,0.0,0.3,0.224,71.105,354320.0,4.0
5W83ErFkO3aKAIS1WMi6u,Secreto,Anuel AA,0.807,0.803,11.0,-4.156,1.0,0.126,0.602,0.00853,0.136,0.706,91.987,258800.0,4.0
2ksOAxtIxY8yElEWw8Rhg,China,Anuel AA,0.786,0.808,7.0,-3.702,1.0,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714.0,4.0
2bT1PH7Cw3J9p3t7nlXCd,If I Can't Have You,Shawn Mendes,0.691,0.823,2.0,-4.197,1.0,0.0623,0.487,0.0,0.134,0.87,123.935,191467.0,4.0
1Ej96GIBCTvgH7tNX1r3q,Otro Trago,Sech,0.747,0.7,0.0,-4.669,1.0,0.341,0.136,0.000167,0.11,0.62,176.036,225933.0,4.0
7COXchtUOMd6uIT6HvmRa,i'm so tired...,Lauv,0.599,0.733,11.0,-7.058,1.0,0.203,0.176,0.0,0.242,0.534,102.211,162583.0,4.0
1DFD5Fotzgn6yYXkYsKiG,Piece Of Your Heart,MEDUZA,0.677,0.744,10.0,-6.806,0.0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913.0,4.0
2x0RZdkZcD8QRI53XT4GI,SOS (feat. Aloe Blacc),Avicii,0.802,0.645,5.0,-6.181,0.0,0.0715,0.272,0.0,0.119,0.376,100.001,157202.0,4.0
7dt6x5M1jzdTEt8oCbisT,Better Now,Post Malone,0.68,0.578,10.0,-5.804,1.0,0.04,0.331,0.0,0.135,0.341,145.038,231267.0,4.0
4t9a07PAghtQMRAIP9FQ7,Soltera - Remix,Lunay,0.795,0.783,5.0,-4.271,1.0,0.0432,0.361,0.0,0.437,0.8,92.016,266087.0,4.0
132ALUzVLmqYB4UsBj5qD,Adan y Eva,Paulo Londra,0.767,0.709,1.0,-4.47,1.0,0.336,0.323,0.0,0.0745,0.72,171.993,256972.0,4.0
2qxmye6gAegTMjLKEBoR3,Let Me Down Slowly,Alec Benjamin,0.652,0.557,1.0,-5.714,0.0,0.0318,0.74,0.0,0.124,0.483,150.073,169354.0,4.0
0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,0.585,0.52,5.0,-6.136,0.0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147.0,4.0
